Order_Id,Account_Id,Bank_To,Account_To,Amount
29401,1,Air Bank,87144583,2452.0
29402,2,Bank Creditas,89597016,3372.7
29403,2,Fio bank ,13943797,7266.0
29404,3,Hypotecni bank,83084338,1135.0
29405,3,J&T Bank ,24485939,327.0
29406,3,Kameron bank,59972357,3539.0
29407,4,Max bank,26693541,2078.0
29408,4,Max bank,5848086,1285.0
29409,5,Moneta Money Bank,37390208,2668.0
29410,6,Kameron bank,44486999,3954.0
29411,7,PPF Bank,34452903,4880.0
29412,8,Max bank,12510681,2612.0
29413,8,PPF Bank,93210345,6712.0
29414,10,Max bank,18686104,7033.0
29415,10,Fio bank ,93182509,1344.0
29416,11,Bank Creditas,38470870,2132.0
29417,12,J&T Bank ,23010808,297.0
29418,12,Raiffeisen bank,63607060,3295.0
29419,13,Trinity Bank,35443323,2444.0
29420,14,Hypotecni bank,11793136,3629.0
29421,15,Raiffeisen bank,24265569,3072.0
29422,17,Trinity Bank,15076423,4032.0
29423,19,Fio bank ,14132368,2523.2
29425,20,Kameron bank,3399968,2003.0
29426,21,Air Bank,60152441,6276.0
29427,22,Bank Creditas,34691494,6352.0
29428,23,UniCredit Bank,20774019,5807.0
29429,24,PPF Bank,50810194,221.0
29430,24,Fio bank ,46086388,7641.0
29431,25,Air Bank,1301700,2523.2
29432,25,PPF Bank,4896235,6817.0
29433,25,Kameron bank,79838293,1110.0
29434,25,Hypotecni bank,52864879,164.0
29435,26,Trinity Bank,12891853,10387.0
29436,27,J&T Bank ,28175699,4054.0
29439,29,Bank Creditas,32924878,6871.0
29440,29,UniCredit Bank,93088209,829.0
29441,29,Max bank,41335338,8.0
29442,30,Trinity Bank,66168540,2480.2
29443,31,Bank Creditas,42430687,10202.0
29444,33,Raiffeisen bank,33047658,3892.0
29445,34,Hypotecni bank,21845197,1479.0
29446,34,Moneta Money Bank,19993174,502.0
29447,34,PPF Bank,58999049,6070.0
29448,35,UniCredit Bank,56788617,1022.0
29449,35,UniCredit Bank,99848401,1362.0
29450,36,J&T Bank ,80693810,4069.0
29451,37,Fio bank ,71644407,5307.5
29452,37,PPF Bank,29728555,2317.0
29453,37,Czech export bank,23782724,2584.0
29454,37,Air Bank,89609831,97.0
29455,38,Fio bank ,79067885,2306.8
29456,38,Trinity Bank,2692229,6901.0
29457,38,Raiffeisen bank,83435654,231.0
29458,38,Czech export bank,64685678,228.0
29459,39,J&T Bank ,77015351,145.0
29460,39,Hypotecni bank,949460,2970.0
29461,40,Bank Creditas,31161588,33.0
29462,40,UniCredit Bank,96111678,4301.0
29463,42,J&T Bank ,1007766,4239.0
29464,42,Raiffeisen bank,55873340,239.0
29465,42,Air Bank,38318204,1592.0
29466,43,J&T Bank ,89718746,6589.0
29467,44,Moneta Money Bank,11344862,2344.0
29470,47,Raiffeisen bank,76620852,6940.0
29471,47,Raiffeisen bank,37438374,174.0
29472,47,Trinity Bank,83359431,141.0
29473,47,Max bank,30289006,9.0
29474,48,Kameron bank,50218236,6268.0
29475,48,Bank Creditas,2071685,1029.0
29476,49,J&T Bank ,83233099,3102.0
29477,50,Hypotecni bank,75148117,269.0
29478,50,Max bank,17270559,7024.0
29479,51,Raiffeisen bank,71050131,2074.0
29480,51,Raiffeisen bank,74449389,2057.0
29481,52,Trinity Bank,6008005,560.0
29482,52,Fio bank ,85721850,3723.0
29483,53,UniCredit Bank,81024360,2851.0
29484,54,PPF Bank,90659772,2280.0
29485,55,Trinity Bank,53077900,3086.0
29486,56,Raiffeisen bank,73539948,8080.0
29487,57,Air Bank,55066728,4107.0
29489,59,PPF Bank,38201576,695.0
29490,59,Bank Creditas,65394794,6190.0
29493,61,Trinity Bank,20533621,1645.0
29494,61,PPF Bank,20426410,668.0
29495,62,Trinity Bank,80010622,2273.0
29496,63,J&T Bank ,85474604,2237.0
29497,63,Trinity Bank,8346772,157.0
29498,65,Air Bank,74934333,686.0
29499,65,J&T Bank ,20976132,3315.0
29500,65,Moneta Money Bank,7764506,3401.0
29501,66,Moneta Money Bank,17993182,4471.3
29502,67,Air Bank,45128363,6915.0
29503,67,Air Bank,57342255,6393.0
29504,67,Max bank,59079301,445.0
29505,68,Hypotecni bank,86834001,1705.0
29506,68,PPF Bank,8292192,1186.0
29507,68,Bank Creditas,34692824,137.0
29508,68,UniCredit Bank,92248808,61.0
29509,70,Raiffeisen bank,7699788,4150.0
29510,71,Air Bank,53903484,968.0
29511,71,PPF Bank,11544728,1602.0
29512,71,Czech export bank,9098768,1011.0
29513,71,Fio bank ,34794885,778.0
29514,72,Czech export bank,43079012,2923.0
29515,72,Trinity Bank,69338589,7109.0
29516,72,Bank Creditas,8297068,2286.0
29517,73,J&T Bank ,67077487,6061.0
29522,75,PPF Bank,74818038,3369.0
29523,76,UniCredit Bank,98325132,5208.0
29524,77,Bank Creditas,28454154,1709.0
29525,78,Hypotecni bank,32111394,9039.0
29526,79,J&T Bank ,15471804,2788.0
29527,80,PPF Bank,85687774,2252.0
29528,81,Fio bank ,18026441,1765.0
29529,81,UniCredit Bank,28429049,62.0
29530,81,Moneta Money Bank,62443947,229.0
29531,83,Kameron bank,26468819,2210.0
29532,83,Trinity Bank,41590857,3940.0
29533,84,Bank Creditas,33353132,1709.0
29534,84,Bank Creditas,18454540,12452.0
29535,85,PPF Bank,65366345,3831.0
29536,85,Czech export bank,81823444,1792.0
29537,86,Hypotecni bank,36292475,1002.0
29538,86,UniCredit Bank,48764252,1160.0
29541,88,Bank Creditas,72993069,2268.0
29542,90,Bank Creditas,68375611,2774.0
29543,90,Max bank,90134667,2375.0
29544,90,UniCredit Bank,89044069,4372.0
29545,90,Air Bank,2028567,361.0
29554,96,J&T Bank ,62272125,4422.1
29555,96,Fio bank ,83610647,908.0
29556,96,Hypotecni bank,41707503,2140.0
29557,96,Trinity Bank,49409562,46.0
29558,96,Trinity Bank,66311460,644.0
29559,97,Bank Creditas,69820374,1436.0
29560,97,J&T Bank ,33796209,2411.0
29561,97,Bank Creditas,83123987,3.0
29562,97,J&T Bank ,94469666,15.0
29563,97,UniCredit Bank,9693319,8573.0
29564,98,J&T Bank ,94078754,1569.0
29565,98,Hypotecni bank,95535426,749.0
29566,99,J&T Bank ,38411343,4503.0
